TMDT,F12_F,F12_T
8/5/2021 0:10,1.197785,0.03052503
8/5/2021 0:15,1.199262,0.02930403
8/5/2021 0:20,1.196308,0.03052503
8/5/2021 0:25,1.212554,0.03052503
8/5/2021 0:30,1.205908,0.03052503
8/5/2021 0:35,1.196308,0.03052503
8/5/2021 0:40,1.191877,0.03052503
8/5/2021 0:45,1.201477,0.03052503
8/5/2021 0:50,1.196308,0.03052503
8/5/2021 0:55,1.193354,0.03052503
8/5/2021 1:00,1.183754,0.03052503
8/5/2021 1:05,1.2,0.03052503
8/5/2021 1:10,1.204431,0.03052503
8/5/2021 1:15,1.215508,0.03052503
8/5/2021 1:20,1.204431,0.03052503
8/5/2021 1:25,1.194092,0.03052503
8/5/2021 1:30,1.194831,0.03052503
8/5/2021 1:35,1.202215,0.03052503
8/5/2021 1:40,1.300431,0.03052503
8/5/2021 1:45,1.290831,0.03052503
8/5/2021 1:50,1.290092,0.03052503
8/5/2021 1:55,1.279015,0.03052503
8/5/2021 2:00,1.271631,0.03052503
8/5/2021 2:05,1.294523,0.03052503
8/5/2021 2:10,1.282708,0.03052503
8/5/2021 2:15,1.290831,0.03052503
8/5/2021 2:20,1.285661,0.03052503
8/5/2021 2:25,1.288615,0.03052503
8/5/2021 2:30,1.281231,0.03052503
8/5/2021 2:35,1.289354,0.03052503
8/5/2021 2:40,1.349908,0.03052503
8/5/2021 2:45,1.343261,0.03052503
8/5/2021 2:50,1.312985,0.03052503
8/5/2021 2:55,1.296739,0.03052503
8/5/2021 3:00,1.310031,0.03052503
8/5/2021 3:05,1.293785,0.03052503
8/5/2021 3:10,1.307815,0.03052503
8/5/2021 3:15,1.296739,0.03052503
8/5/2021 3:20,1.3056,0.03052503
8/5/2021 3:25,1.316677,0.03052503
8/5/2021 3:30,1.303385,0.03052503
8/5/2021 3:35,1.312985,0.03052503
8/5/2021 3:40,1.317415,0.03052503
8/5/2021 3:45,1.301908,0.03052503
8/5/2021 3:50,1.306338,0.03052503
8/5/2021 3:55,1.311508,0.03052503
8/5/2021 4:00,1.293785,0.03052503
8/5/2021 4:05,1.298215,0.03052503
8/5/2021 4:10,1.320369,0.03052503
8/5/2021 4:15,1.296739,0.03052503
8/5/2021 4:20,1.298954,0.03052503
8/5/2021 4:25,1.312246,0.03052503
8/5/2021 4:30,1.288615,0.03052503
8/5/2021 4:35,1.298954,0.03052503
8/5/2021 4:40,1.310769,0.03052503
8/5/2021 4:45,1.312985,0.03052503
8/5/2021 4:50,1.3056,0.03052503
8/5/2021 4:55,1.299692,0.03052503
8/5/2021 5:00,1.299692,0.03052503
8/5/2021 5:05,1.297477,0.03052503
8/5/2021 5:10,1.300431,0.03052503
8/5/2021 5:15,1.291569,0.03052503
8/5/2021 5:20,1.308554,0.03052503
8/5/2021 5:25,1.299692,0.03052503
8/5/2021 5:30,1.306338,0.03052503
8/5/2021 5:35,1.295262,0.03052503
8/5/2021 5:40,1.292308,0.03052503
8/5/2021 5:45,1.309292,0.03052503
8/5/2021 5:50,1.296739,0.03052503
8/5/2021 5:55,1.301169,0.03052503
8/5/2021 6:00,1.307815,0.03052503
8/5/2021 6:05,1.304861,0.03052503
8/5/2021 6:10,1.311508,0.03052503
8/5/2021 6:15,1.308554,0.03052503
8/5/2021 6:20,1.307077,0.03052503
8/5/2021 6:25,1.307077,0.03052503
8/5/2021 6:30,1.303385,0.03052503
8/5/2021 6:35,1.301169,0.03052503
8/5/2021 6:40,1.298215,0.03052503
8/5/2021 6:45,1.319631,0.03052503
8/5/2021 6:50,1.289354,0.03174603
8/5/2021 6:55,1.308554,0.03174603
8/5/2021 7:00,1.298215,0.03174603
8/5/2021 7:05,1.303385,0.03174603
8/5/2021 7:10,1.301169,0.03174603
8/5/2021 7:15,1.314461,0.03174603
8/5/2021 7:20,1.298954,0.03174603
8/5/2021 7:25,1.291569,0.03174603
8/5/2021 7:30,1.293046,0.03174603
8/5/2021 7:35,1.298215,0.03174603
8/5/2021 7:40,1.296,0.03174603
8/5/2021 7:45,1.293785,0.03174603
8/5/2021 7:50,1.295262,0.03174603
8/5/2021 7:55,1.290831,0.03174603
8/5/2021 8:00,1.287138,0.03174603
8/5/2021 8:05,1.2768,0.03174603
8/5/2021 8:10,1.288615,0.03174603
8/5/2021 8:15,1.303385,0.03174603
8/5/2021 8:20,1.296,0.03174603
8/5/2021 8:25,1.285661,0.03174603
8/5/2021 8:30,1.319631,0.03174603
8/5/2021 8:35,1.307815,0.03174603
8/5/2021 8:40,1.301908,0.03174603
8/5/2021 8:45,1.292308,0.03296703
8/5/2021 8:50,1.293785,0.03174603
