"filter","Date","sampledFlow","sampledDatePC","sampledDateFlow","flow","turbidity","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","difference","runID","runDifference"
12,2021-03-04 04:00:00,1.103261,2021-03-04 03:56:00,2021-03-04 04:00:00,1,0.02564103,0.2564103,0,0,0,0,0,0,0,0,15,1,32.5
12,2021-03-04 04:15:00,1.038277,2021-03-04 04:11:00,2021-03-04 04:15:00,1,0.02564103,0.23076927,0.02564103,0,0,0,0,0,0,0,15,1,32.75
12,2021-03-04 04:30:00,1.023508,2021-03-04 04:26:00,2021-03-04 04:30:00,1,0.02564103,0.2564103,0,0,0,0,0,0,0,0,15,1,33
12,2021-03-04 04:45:00,0.9947076,2021-03-04 04:41:00,2021-03-04 04:45:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,33.25
12,2021-03-04 05:00:00,0.9828923,2021-03-04 04:56:00,2021-03-04 05:00:00,1,0.02564103,0.23076927,0,0,0,0,0,0,0,0,15,1,33.5
12,2021-03-04 05:15:00,1.002831,2021-03-04 05:11:00,2021-03-04 05:15:00,1,0.02564103,0.17948721,0,0,0,0,0,0,0,0,15,1,33.75
12,2021-03-04 05:30:00,0.9910154,2021-03-04 05:26:00,2021-03-04 05:30:00,1,0.02564103,0.20512824,0.02564103,0,0,0,0,0,0,0,15,1,34
12,2021-03-04 05:45:00,0.9932307,2021-03-04 05:41:00,2021-03-04 05:45:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,34.25
12,2021-03-04 06:00:00,1.001354,2021-03-04 05:56:00,2021-03-04 06:00:00,1,0.02564103,0.20512824,0.02564103,0,0,0,0,0,0,0,15,1,34.5
12,2021-03-04 06:15:00,1.004308,2021-03-04 06:11:00,2021-03-04 06:15:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,34.75
12,2021-03-04 06:30:00,1.002092,2021-03-04 06:26:00,2021-03-04 06:30:00,1,0.02564103,0.17948721,0,0,0,0,0,0,0,0,15,1,35
12,2021-03-04 06:45:00,1.009477,2021-03-04 06:41:00,2021-03-04 06:45:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,35.25
12,2021-03-04 07:00:00,1.001354,2021-03-04 06:56:00,2021-03-04 07:00:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,35.5
12,2021-03-04 07:15:00,1.006523,2021-03-04 07:11:00,2021-03-04 07:15:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,35.75
12,2021-03-04 07:30:00,0.9984,2021-03-04 07:26:00,2021-03-04 07:30:00,1,0.02564103,0.17948721,0,0,0,0,0,0,0,0,15,1,36
12,2021-03-04 07:45:00,0.9984,2021-03-04 07:41:00,2021-03-04 07:45:00,1,0.02564103,0.17948721,0,0,0,0,0,0,0,0,15,1,36.25
12,2021-03-04 08:00:00,0.996923,2021-03-04 07:56:00,2021-03-04 08:00:00,1,0.02564103,0.17948721,0,0,0,0,0,0,0,0,15,1,36.5
12,2021-03-04 08:15:00,0.9932307,2021-03-04 08:11:00,2021-03-04 08:15:00,1,0.02564103,0.20512824,0,0,0,0,0,0,0,0,15,1,36.75
12,2021-03-04 08:30:00,0.2008615,2021-03-04 08:27:00,2021-03-04 08:30:00,1,0.02564103,0.17948721,0,0,0,0,0,0,0,0,11415,1,37
12,2021-03-12 06:45:00,1.038277,2021-03-12 06:41:00,2021-03-12 06:45:00,1,0.0989011,5.6373627,0.5934066,0.2967033,0.0989011,0,0,0,0,0,15,2,0
12,2021-03-12 07:00:00,1.010954,2021-03-12 06:56:00,2021-03-12 07:00:00,1,0.05616606,7.41391992,0.22466424,0.05616606,0,0,0,0,0,0,15,2,0.25
12,2021-03-12 07:15:00,0.9984,2021-03-12 07:11:00,2021-03-12 07:15:00,1,0.04151404,3.15506704,0.08302808,0.04151404,0,0,0,0,0,0,15,2,0.5
12,2021-03-12 07:30:00,1.016862,2021-03-12 07:26:00,2021-03-12 07:30:00,1,0.03418804,2.25641064,0.06837608,0.03418804,0,0,0,0,0,0,15,2,0.75
12,2021-03-12 07:45:00,0.9865846,2021-03-12 07:41:00,2021-03-12 07:45:00,1,0.03052503,1.67887665,0.06105006,0.03052503,0,0,0,0,0,0,15,2,1
12,2021-03-12 08:00:00,0.9902769,2021-03-12 07:56:00,2021-03-12 08:00:00,1,0.02808303,1.26373635,0.02808303,0,0,0,0,0,0,0,15,2,1.25
12,2021-03-12 08:15:00,0.9954461,2021-03-12 08:11:00,2021-03-12 08:15:00,1,0.02564103,1.10256429,0.02564103,0.02564103,0,0,0,0,0,0,15,2,1.5
12,2021-03-12 08:30:00,1.003569,2021-03-12 08:26:00,2021-03-12 08:30:00,1,0.02564103,1.64102592,0.10256412,0.05128206,0.02564103,0,0,0,0,0,15,2,1.75
12,2021-03-12 08:45:00,0.9961846,2021-03-12 08:41:00,2021-03-12 08:45:00,1,0.02564103,1.0256412,0.02564103,0,0,0,0,0,0,0,15,2,2
12,2021-03-12 09:00:00,0.9806769,2021-03-12 08:56:00,2021-03-12 09:00:00,1,0.02442002,0.87912072,0.02442002,0,0,0,0,0,0,0,15,2,2.25
12,2021-03-12 09:15:00,0.9998769,2021-03-12 09:11:00,2021-03-12 09:15:00,1,0.02442002,0.83028068,0.02442002,0,0,0,0,0,0,0,15,2,2.5
